Artist,Album,Tags,Fans,URL,Art,
2814,新しい日の誕生,ambient hypnagogic,80,https://dreamcatalogue.bandcamp.com/album/--18,/img/a4099353330_3.jpg,
.CASTING,5AM,future-funk,42,https://cstng.bandcamp.com/album/5am,/img/a0261871031_3.jpg,
.CASTING,LATE TO BE REAL,future-funk,65,https://cstng.bandcamp.com/album/late-to-be-real,/img/a1078065926_3.jpg,
.jpeg Artifacts,Ridin’ That (Information Highway),vaporwave,6,https://vaporbabes.bandcamp.com/album/ridin-that-information-highway,/img/a0701717758_3.jpg,
.mp3Neptune,"I Love You, Saturn City",hypnagogic,56,https://pizzaboxsociety.bandcamp.com/album/i-love-you-saturn-city,/img/a1817995379_3.jpg,
「ｎｅｗｔｙｐｅ」,ＳＩＭ ＥＡＲＴＨ™ ｕｌｔｒａ気候,vaporwave,7,https://newtype420.bandcamp.com/album/-,/img/a2821986195_3.jpg,
「サンセット Ｎｅｔｗｏｒｋ❾❶」,ＨＩＧＨ～ＦＡＳＨＩＯＮ「犯罪現場」,vaporwave,27,https://sunset-network.bandcamp.com/album/--4,/img/a0558740325_3.jpg,
「サンセット Ｎｅｔｗｏｒｋ❾❶」,Strangers Once Lovers「メモリー」,vaporwave,43,https://dmtrec.bandcamp.com/album/strangers-once-lovers,/img/a2652260667_3.jpg,
§E▲ ▓F D▓G§,In Search Of God,vaporwave,39,https://midnightmoontapes.bandcamp.com/album/in-search-of-god,/img/a0618456498_3.jpg,
§E▲ ▓F D▓G§,OG GLAZED VOL. 1,experimental,80,https://elemental95.bandcamp.com/album/og-glazed-vol-1,/img/a0607242006_3.jpg,
` ` ` NEW FIGURE VARIETY,NEW DESK QUIT CABLE,vaporwave,80,https://elemental95.bandcamp.com/album/new-desk-quit-cable,/img/a2076371966_3.jpg,
<456> <ae.blitpipe> <2>,Дѕіаи αмвιєηтє Ӡ,hypnagogic,2,https://456aeblitpipe2makingnewcontext.bandcamp.com/album/-,/img/a4090884641_3.jpg,
░▒▓新しいデラックスライフ▓▒░,▣世界から解放され▣,vaporwave,80,https://internetclub.bandcamp.com/album/-,/img/a3735408238_3.jpg,
01100001 S.T.A.R.D.U.S.T. Subsidiary,Arcadia Campus: Virtual Tour,vaporwave,6,https://01100001.bandcamp.com/album/arcadia-campus-virtual-tour,/img/a4090310520_3.jpg,
